[2025-11-14T23:35:51Z] === PK generation run started at 2025-11-14T23:35:51Z ===
[2025-11-14T23:35:51Z] CSV start: articles.csv with ~74103 rows
[2025-11-14T23:35:53Z] [ndjson] batch 15 processed 15000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 16 processed 16000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 17 processed 17000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 18 processed 18000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 19 processed 19000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 20 processed 20000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 21 processed 21000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 22 processed 22000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 23 processed 23000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 24 processed 24000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 25 processed 25000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 26 processed 26000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 27 processed 27000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 28 processed 28000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 29 processed 29000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 30 processed 30000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 31 processed 31000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 32 processed 32000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 33 processed 33000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 34 processed 34000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 35 processed 35000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 36 processed 36000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 37 processed 37000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 38 processed 38000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 39 processed 39000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 40 processed 40000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 41 processed 41000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 42 processed 42000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 43 processed 43000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 44 processed 44000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 45 processed 45000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 46 processed 46000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 47 processed 47000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 48 processed 48000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 49 processed 49000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 50 processed 50000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 51 processed 51000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 52 processed 52000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 53 processed 53000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 54 processed 54000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 55 processed 55000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 56 processed 56000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 57 processed 57000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 58 processed 58000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 59 processed 59000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 60 processed 60000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 61 processed 61000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 62 processed 62000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 63 processed 63000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 64 processed 64000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 65 processed 65000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 66 processed 66000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 67 processed 67000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 68 processed 68000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 69 processed 69000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 70 processed 70000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 71 processed 71000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 72 processed 72000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 73 processed 73000 rows
[2025-11-14T23:35:54Z] [ndjson] batch 74 processed 74000 rows
[2025-11-14T23:35:54Z] [ndjson] done: wrote 74103 rows to articles_with_id.ndjson
[2025-11-14T23:35:54Z] === PK generation run finished at 2025-11-14T23:35:54Z ===
